,Unnamed: 0,drug_name,SE_name,age_id,count,ROR,ROR_upper,ROR_lower
220,220,DB00374,10016807,1,5.0,0.151097177537737,0.3643642762664896,0.0626580555421209
360,360,DB00374,10017955,2,111.0,2.4130049392437605,3.2604214475786324,1.7858405517295806
361,361,DB00374,10020100,2,36.0,7.7017637189507715,17.309831544687142,3.426790389577908
362,362,DB00374,10033318,2,322.0,1.60900065287377,1.8846384537937149,1.373676259091967
221,221,DB00374,10033318,0,271.0,0.5919853841706403,0.6942477904383613,0.5047861871485135
363,363,DB00374,10033433,0,392.0,1.7233134017118887,2.059759896974523,1.441822944937419
364,364,DB00374,10037660,1,47.0,3.3088462786786432,4.493891792114014,2.436298914704205
222,222,DB00374,10037660,2,105.0,0.4660130873152558,0.5806377786496617,0.374016651231591
365,365,DB00374,10038687,1,21.0,6.402885138813282,10.31931304861965,3.9728359734488223
366,366,DB00374,10042945,0,43.0,inf,inf,inf
367,367,DB00374,10047461,1,23.0,9.877426771117166,15.943035538621452,6.119509636821528
223,223,DB00374,10047700,2,283.0,0.6534568615383783,0.752349358518936,0.5675632803518101
368,368,DB00374,10061494,1,17.0,42.38289467186806,90.61295714224704,19.823983428184118
369,369,DB00374,10061603,1,12.0,27.34940411700975,60.95940697736257,12.270294982253972
496,496,DB00381,10002855,0,140.0,2.148557988706187,2.7670687846592035,1.6683002086634886
497,497,DB00381,10003549,2,525.0,1.8097310739882455,2.135771169481649,1.5334632319030326
286,286,DB00381,10003549,0,192.0,0.5862690463519857,0.6922738781251515,0.4964962648039271
498,498,DB00381,10003658,2,199.0,2.2087719298245614,2.949565490655804,1.6540312305105649
499,499,DB00381,10007515,1,27.0,11.621462264150944,17.660778162888363,7.647363208541431
500,500,DB00381,10009192,1,14.0,404.6666666666667,1783.2902363340943,91.8275151036222
501,501,DB00381,10016288,1,20.0,10.10139842359522,16.318755072012102,6.252820736749417
502,502,DB00381,10019211,0,404.0,1.512239768278938,1.7335076955859532,1.3192148627822142
503,503,DB00381,10021097,1,42.0,4.775953458306399,6.588833663016912,3.4618769576685104
